2024-12-07 20:45:12 | INFO | Saving logs to outputs/crossConcatLpdUnet2D_1/20241207_2045_logs.log...
2024-12-07 20:45:13 | INFO | Cross_Concat_LPD_Unet2D model loaded successfully!
2024-12-07 20:45:13 | INFO | crossConcatLpdUnet2D_1 - number of parameters: 22,792,048
2024-12-07 20:45:14 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.26/47.53GB
2024-12-07 20:45:21 | DEBUG | 1/200 - batch 2/84 | VRAM: 34.41/47.53GB
2024-12-07 20:45:23 | DEBUG | 1/200 - batch 3/84 | VRAM: 41.63/47.53GB
2024-12-07 20:45:26 | DEBUG | 1/200 - batch 4/84 | VRAM: 42.12/47.53GB
2024-12-07 20:45:28 | DEBUG | 1/200 - batch 5/84 | VRAM: 42.12/47.53GB
2024-12-07 20:45:31 | DEBUG | 1/200 - batch 6/84 | VRAM: 42.12/47.53GB
2024-12-07 20:45:33 | DEBUG | 1/200 - batch 7/84 | VRAM: 42.12/47.53GB
2024-12-07 20:45:36 | DEBUG | 1/200 - batch 8/84 | VRAM: 42.12/47.53GB
2024-12-07 20:45:38 | DEBUG | 1/200 - batch 9/84 | VRAM: 42.14/47.53GB
2024-12-07 20:45:41 | DEBUG | 1/200 - batch 10/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:44 | DEBUG | 1/200 - batch 11/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:46 | DEBUG | 1/200 - batch 12/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:49 | DEBUG | 1/200 - batch 13/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:51 | DEBUG | 1/200 - batch 14/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:54 | DEBUG | 1/200 - batch 15/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:57 | DEBUG | 1/200 - batch 16/84 | VRAM: 42.16/47.53GB
2024-12-07 20:45:59 | DEBUG | 1/200 - batch 17/84 | VRAM: 42.16/47.53GB
2024-12-07 20:46:02 | DEBUG | 1/200 - batch 18/84 | VRAM: 42.16/47.53GB
2024-12-07 20:46:05 | DEBUG | 1/200 - batch 19/84 | VRAM: 42.16/47.53GB
2024-12-07 20:46:07 | DEBUG | 1/200 - batch 20/84 | VRAM: 42.16/47.53GB
