2024-12-07 16:32:24 | INFO | Saving logs to outputs/crossImageLpdUnet2D_1/20241207_1632_logs.log...
2024-12-07 16:32:25 | INFO | Cross_Image_LPD_Unet2D model loaded successfully!
2024-12-07 16:32:25 | INFO | crossImageLpdUnet2D_1 - number of parameters: 12,946,314
2024-12-07 16:32:25 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.07/47.53GB
2024-12-07 16:32:33 | DEBUG | 1/200 - batch 2/84 | VRAM: 3.63/47.53GB
2024-12-07 16:32:34 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.02/47.53GB
2024-12-07 16:32:36 | DEBUG | 1/200 - batch 4/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:38 | DEBUG | 1/200 - batch 5/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:39 | DEBUG | 1/200 - batch 6/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:41 | DEBUG | 1/200 - batch 7/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:43 | DEBUG | 1/200 - batch 8/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:44 | DEBUG | 1/200 - batch 9/84 | VRAM: 26.12/47.53GB
2024-12-07 16:32:46 | DEBUG | 1/200 - batch 10/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:47 | DEBUG | 1/200 - batch 11/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:49 | DEBUG | 1/200 - batch 12/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:51 | DEBUG | 1/200 - batch 13/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:52 | DEBUG | 1/200 - batch 14/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:54 | DEBUG | 1/200 - batch 15/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:56 | DEBUG | 1/200 - batch 16/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:57 | DEBUG | 1/200 - batch 17/84 | VRAM: 26.22/47.53GB
2024-12-07 16:32:59 | DEBUG | 1/200 - batch 18/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:00 | DEBUG | 1/200 - batch 19/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:02 | DEBUG | 1/200 - batch 20/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:04 | DEBUG | 1/200 - batch 21/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:05 | DEBUG | 1/200 - batch 22/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:07 | DEBUG | 1/200 - batch 23/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:08 | DEBUG | 1/200 - batch 24/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:10 | DEBUG | 1/200 - batch 25/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:12 | DEBUG | 1/200 - batch 26/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:13 | DEBUG | 1/200 - batch 27/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:15 | DEBUG | 1/200 - batch 28/84 | VRAM: 26.22/47.53GB
2024-12-07 16:33:17 | DEBUG | 1/200 - batch 29/84 | VRAM: 26.22/47.53GB
