2024-12-09 05:58:17 | INFO | Saving logs to outputs/crossSinogramLpdUnet2D_1/20241209_0558_logs.log...
2024-12-09 05:58:18 | INFO | Cross_Sinogram_LPD_Unet2D model loaded successfully!
2024-12-09 05:58:18 | INFO | crossSinogramLpdUnet2D_1 - number of parameters: 22,459,858
2024-12-09 05:58:19 | DEBUG | 1/200 - batch 1/84 | VRAM: 1.40/47.53GB
2024-12-09 05:58:27 | DEBUG | 1/200 - batch 2/84 | VRAM: 4.34/47.53GB
2024-12-09 05:58:29 | DEBUG | 1/200 - batch 3/84 | VRAM: 18.87/47.53GB
2024-12-09 05:58:31 | DEBUG | 1/200 - batch 4/84 | VRAM: 32.47/47.53GB
2024-12-09 05:58:33 | DEBUG | 1/200 - batch 5/84 | VRAM: 32.77/47.53GB
2024-12-09 05:58:36 | DEBUG | 1/200 - batch 6/84 | VRAM: 32.77/47.53GB
2024-12-09 05:58:38 | DEBUG | 1/200 - batch 7/84 | VRAM: 32.77/47.53GB
2024-12-09 05:58:40 | DEBUG | 1/200 - batch 8/84 | VRAM: 32.77/47.53GB
2024-12-09 05:58:42 | DEBUG | 1/200 - batch 9/84 | VRAM: 32.77/47.53GB
2024-12-09 05:58:44 | DEBUG | 1/200 - batch 10/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:47 | DEBUG | 1/200 - batch 11/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:49 | DEBUG | 1/200 - batch 12/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:51 | DEBUG | 1/200 - batch 13/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:53 | DEBUG | 1/200 - batch 14/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:55 | DEBUG | 1/200 - batch 15/84 | VRAM: 32.83/47.53GB
2024-12-09 05:58:58 | DEBUG | 1/200 - batch 16/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:00 | DEBUG | 1/200 - batch 17/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:02 | DEBUG | 1/200 - batch 18/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:04 | DEBUG | 1/200 - batch 19/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:06 | DEBUG | 1/200 - batch 20/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:09 | DEBUG | 1/200 - batch 21/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:11 | DEBUG | 1/200 - batch 22/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:13 | DEBUG | 1/200 - batch 23/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:15 | DEBUG | 1/200 - batch 24/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:17 | DEBUG | 1/200 - batch 25/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:20 | DEBUG | 1/200 - batch 26/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:22 | DEBUG | 1/200 - batch 27/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:24 | DEBUG | 1/200 - batch 28/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:26 | DEBUG | 1/200 - batch 29/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:28 | DEBUG | 1/200 - batch 30/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:30 | DEBUG | 1/200 - batch 31/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:33 | DEBUG | 1/200 - batch 32/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:35 | DEBUG | 1/200 - batch 33/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:37 | DEBUG | 1/200 - batch 34/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:39 | DEBUG | 1/200 - batch 35/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:41 | DEBUG | 1/200 - batch 36/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:44 | DEBUG | 1/200 - batch 37/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:46 | DEBUG | 1/200 - batch 38/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:48 | DEBUG | 1/200 - batch 39/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:50 | DEBUG | 1/200 - batch 40/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:52 | DEBUG | 1/200 - batch 41/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:54 | DEBUG | 1/200 - batch 42/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:57 | DEBUG | 1/200 - batch 43/84 | VRAM: 32.83/47.53GB
2024-12-09 05:59:59 | DEBUG | 1/200 - batch 44/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:01 | DEBUG | 1/200 - batch 45/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:03 | DEBUG | 1/200 - batch 46/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:05 | DEBUG | 1/200 - batch 47/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:08 | DEBUG | 1/200 - batch 48/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:10 | DEBUG | 1/200 - batch 49/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:12 | DEBUG | 1/200 - batch 50/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:14 | DEBUG | 1/200 - batch 51/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:17 | DEBUG | 1/200 - batch 52/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:19 | DEBUG | 1/200 - batch 53/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:21 | DEBUG | 1/200 - batch 54/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:23 | DEBUG | 1/200 - batch 55/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:25 | DEBUG | 1/200 - batch 56/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:27 | DEBUG | 1/200 - batch 57/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:30 | DEBUG | 1/200 - batch 58/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:32 | DEBUG | 1/200 - batch 59/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:34 | DEBUG | 1/200 - batch 60/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:36 | DEBUG | 1/200 - batch 61/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:38 | DEBUG | 1/200 - batch 62/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:40 | DEBUG | 1/200 - batch 63/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:43 | DEBUG | 1/200 - batch 64/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:45 | DEBUG | 1/200 - batch 65/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:47 | DEBUG | 1/200 - batch 66/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:49 | DEBUG | 1/200 - batch 67/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:51 | DEBUG | 1/200 - batch 68/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:54 | DEBUG | 1/200 - batch 69/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:56 | DEBUG | 1/200 - batch 70/84 | VRAM: 32.83/47.53GB
2024-12-09 06:00:58 | DEBUG | 1/200 - batch 71/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:00 | DEBUG | 1/200 - batch 72/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:02 | DEBUG | 1/200 - batch 73/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:05 | DEBUG | 1/200 - batch 74/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:07 | DEBUG | 1/200 - batch 75/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:09 | DEBUG | 1/200 - batch 76/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:11 | DEBUG | 1/200 - batch 77/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:14 | DEBUG | 1/200 - batch 78/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:16 | DEBUG | 1/200 - batch 79/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:18 | DEBUG | 1/200 - batch 80/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:20 | DEBUG | 1/200 - batch 81/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:22 | DEBUG | 1/200 - batch 82/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:25 | DEBUG | 1/200 - batch 83/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:27 | DEBUG | 1/200 - batch 84/84 | VRAM: 32.83/47.53GB
2024-12-09 06:01:29 | INFO | 1/200 - loss 2.40e+00; PSNR 15.016; SSIM 0.108
2024-12-09 06:01:30 | DEBUG | 2/200 - batch 1/84 | VRAM: 2.82/47.53GB
2024-12-09 06:01:32 | DEBUG | 2/200 - batch 2/84 | VRAM: 32.13/47.53GB
2024-12-09 06:01:34 | DEBUG | 2/200 - batch 3/84 | VRAM: 32.72/47.53GB
2024-12-09 06:01:36 | DEBUG | 2/200 - batch 4/84 | VRAM: 32.72/47.53GB
2024-12-09 06:01:38 | DEBUG | 2/200 - batch 5/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:41 | DEBUG | 2/200 - batch 6/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:43 | DEBUG | 2/200 - batch 7/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:45 | DEBUG | 2/200 - batch 8/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:47 | DEBUG | 2/200 - batch 9/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:50 | DEBUG | 2/200 - batch 10/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:52 | DEBUG | 2/200 - batch 11/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:54 | DEBUG | 2/200 - batch 12/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:56 | DEBUG | 2/200 - batch 13/84 | VRAM: 33.02/47.53GB
2024-12-09 06:01:58 | DEBUG | 2/200 - batch 14/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:01 | DEBUG | 2/200 - batch 15/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:03 | DEBUG | 2/200 - batch 16/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:05 | DEBUG | 2/200 - batch 17/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:07 | DEBUG | 2/200 - batch 18/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:09 | DEBUG | 2/200 - batch 19/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:12 | DEBUG | 2/200 - batch 20/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:14 | DEBUG | 2/200 - batch 21/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:16 | DEBUG | 2/200 - batch 22/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:18 | DEBUG | 2/200 - batch 23/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:20 | DEBUG | 2/200 - batch 24/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:22 | DEBUG | 2/200 - batch 25/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:25 | DEBUG | 2/200 - batch 26/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:27 | DEBUG | 2/200 - batch 27/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:29 | DEBUG | 2/200 - batch 28/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:31 | DEBUG | 2/200 - batch 29/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:34 | DEBUG | 2/200 - batch 30/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:36 | DEBUG | 2/200 - batch 31/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:38 | DEBUG | 2/200 - batch 32/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:40 | DEBUG | 2/200 - batch 33/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:42 | DEBUG | 2/200 - batch 34/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:44 | DEBUG | 2/200 - batch 35/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:47 | DEBUG | 2/200 - batch 36/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:49 | DEBUG | 2/200 - batch 37/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:51 | DEBUG | 2/200 - batch 38/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:53 | DEBUG | 2/200 - batch 39/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:55 | DEBUG | 2/200 - batch 40/84 | VRAM: 33.02/47.53GB
2024-12-09 06:02:58 | DEBUG | 2/200 - batch 41/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:00 | DEBUG | 2/200 - batch 42/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:02 | DEBUG | 2/200 - batch 43/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:04 | DEBUG | 2/200 - batch 44/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:06 | DEBUG | 2/200 - batch 45/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:09 | DEBUG | 2/200 - batch 46/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:11 | DEBUG | 2/200 - batch 47/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:13 | DEBUG | 2/200 - batch 48/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:15 | DEBUG | 2/200 - batch 49/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:18 | DEBUG | 2/200 - batch 50/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:20 | DEBUG | 2/200 - batch 51/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:22 | DEBUG | 2/200 - batch 52/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:24 | DEBUG | 2/200 - batch 53/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:26 | DEBUG | 2/200 - batch 54/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:29 | DEBUG | 2/200 - batch 55/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:31 | DEBUG | 2/200 - batch 56/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:33 | DEBUG | 2/200 - batch 57/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:35 | DEBUG | 2/200 - batch 58/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:37 | DEBUG | 2/200 - batch 59/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:40 | DEBUG | 2/200 - batch 60/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:42 | DEBUG | 2/200 - batch 61/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:44 | DEBUG | 2/200 - batch 62/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:46 | DEBUG | 2/200 - batch 63/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:48 | DEBUG | 2/200 - batch 64/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:51 | DEBUG | 2/200 - batch 65/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:53 | DEBUG | 2/200 - batch 66/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:55 | DEBUG | 2/200 - batch 67/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:57 | DEBUG | 2/200 - batch 68/84 | VRAM: 33.02/47.53GB
2024-12-09 06:03:59 | DEBUG | 2/200 - batch 69/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:01 | DEBUG | 2/200 - batch 70/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:04 | DEBUG | 2/200 - batch 71/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:06 | DEBUG | 2/200 - batch 72/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:08 | DEBUG | 2/200 - batch 73/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:10 | DEBUG | 2/200 - batch 74/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:12 | DEBUG | 2/200 - batch 75/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:15 | DEBUG | 2/200 - batch 76/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:17 | DEBUG | 2/200 - batch 77/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:19 | DEBUG | 2/200 - batch 78/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:21 | DEBUG | 2/200 - batch 79/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:23 | DEBUG | 2/200 - batch 80/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:26 | DEBUG | 2/200 - batch 81/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:28 | DEBUG | 2/200 - batch 82/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:30 | DEBUG | 2/200 - batch 83/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:32 | DEBUG | 2/200 - batch 84/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:33 | INFO | 2/200 - loss 8.08e-01; PSNR 33.668; SSIM 0.443
2024-12-09 06:04:33 | DEBUG | 3/200 - batch 1/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:35 | DEBUG | 3/200 - batch 2/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:38 | DEBUG | 3/200 - batch 3/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:40 | DEBUG | 3/200 - batch 4/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:42 | DEBUG | 3/200 - batch 5/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:44 | DEBUG | 3/200 - batch 6/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:46 | DEBUG | 3/200 - batch 7/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:49 | DEBUG | 3/200 - batch 8/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:51 | DEBUG | 3/200 - batch 9/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:53 | DEBUG | 3/200 - batch 10/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:55 | DEBUG | 3/200 - batch 11/84 | VRAM: 33.02/47.53GB
2024-12-09 06:04:57 | DEBUG | 3/200 - batch 12/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:00 | DEBUG | 3/200 - batch 13/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:02 | DEBUG | 3/200 - batch 14/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:04 | DEBUG | 3/200 - batch 15/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:06 | DEBUG | 3/200 - batch 16/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:08 | DEBUG | 3/200 - batch 17/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:11 | DEBUG | 3/200 - batch 18/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:13 | DEBUG | 3/200 - batch 19/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:15 | DEBUG | 3/200 - batch 20/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:17 | DEBUG | 3/200 - batch 21/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:19 | DEBUG | 3/200 - batch 22/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:22 | DEBUG | 3/200 - batch 23/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:24 | DEBUG | 3/200 - batch 24/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:26 | DEBUG | 3/200 - batch 25/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:28 | DEBUG | 3/200 - batch 26/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:30 | DEBUG | 3/200 - batch 27/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:32 | DEBUG | 3/200 - batch 28/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:35 | DEBUG | 3/200 - batch 29/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:37 | DEBUG | 3/200 - batch 30/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:39 | DEBUG | 3/200 - batch 31/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:41 | DEBUG | 3/200 - batch 32/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:44 | DEBUG | 3/200 - batch 33/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:46 | DEBUG | 3/200 - batch 34/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:48 | DEBUG | 3/200 - batch 35/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:50 | DEBUG | 3/200 - batch 36/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:52 | DEBUG | 3/200 - batch 37/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:55 | DEBUG | 3/200 - batch 38/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:57 | DEBUG | 3/200 - batch 39/84 | VRAM: 33.02/47.53GB
2024-12-09 06:05:59 | DEBUG | 3/200 - batch 40/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:01 | DEBUG | 3/200 - batch 41/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:04 | DEBUG | 3/200 - batch 42/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:06 | DEBUG | 3/200 - batch 43/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:08 | DEBUG | 3/200 - batch 44/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:10 | DEBUG | 3/200 - batch 45/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:13 | DEBUG | 3/200 - batch 46/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:15 | DEBUG | 3/200 - batch 47/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:17 | DEBUG | 3/200 - batch 48/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:19 | DEBUG | 3/200 - batch 49/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:21 | DEBUG | 3/200 - batch 50/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:24 | DEBUG | 3/200 - batch 51/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:26 | DEBUG | 3/200 - batch 52/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:28 | DEBUG | 3/200 - batch 53/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:30 | DEBUG | 3/200 - batch 54/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:32 | DEBUG | 3/200 - batch 55/84 | VRAM: 33.02/47.53GB
2024-12-09 06:06:35 | DEBUG | 3/200 - batch 56/84 | VRAM: 33.02/47.53GB
