2024-12-09 13:14:30 | INFO | Saving logs to outputs/crossUpdateLpdUnet2D_1/20241209_1314_logs.log...
2024-12-09 13:14:32 | INFO | Cross_Update_LPD_Unet2D model loaded successfully!
2024-12-09 13:14:33 | INFO | crossUpdateLpdUnet2D_1 - number of parameters: 22,543,894
2024-12-09 13:14:33 | DEBUG | 1/200 - batch 1/84 | VRAM: 0.94/47.53GB
2024-12-09 13:14:41 | DEBUG | 1/200 - batch 2/84 | VRAM: 5.39/47.53GB
2024-12-09 13:14:44 | DEBUG | 1/200 - batch 3/84 | VRAM: 35.51/47.53GB
2024-12-09 13:14:46 | DEBUG | 1/200 - batch 4/84 | VRAM: 36.11/47.53GB
2024-12-09 13:14:48 | DEBUG | 1/200 - batch 5/84 | VRAM: 36.40/47.53GB
2024-12-09 13:14:50 | DEBUG | 1/200 - batch 6/84 | VRAM: 36.40/47.53GB
2024-12-09 13:14:52 | DEBUG | 1/200 - batch 7/84 | VRAM: 36.40/47.53GB
2024-12-09 13:14:55 | DEBUG | 1/200 - batch 8/84 | VRAM: 36.70/47.53GB
2024-12-09 13:14:57 | DEBUG | 1/200 - batch 9/84 | VRAM: 36.77/47.53GB
2024-12-09 13:14:59 | DEBUG | 1/200 - batch 10/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:01 | DEBUG | 1/200 - batch 11/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:03 | DEBUG | 1/200 - batch 12/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:06 | DEBUG | 1/200 - batch 13/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:08 | DEBUG | 1/200 - batch 14/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:10 | DEBUG | 1/200 - batch 15/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:12 | DEBUG | 1/200 - batch 16/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:14 | DEBUG | 1/200 - batch 17/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:17 | DEBUG | 1/200 - batch 18/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:19 | DEBUG | 1/200 - batch 19/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:21 | DEBUG | 1/200 - batch 20/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:23 | DEBUG | 1/200 - batch 21/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:25 | DEBUG | 1/200 - batch 22/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:28 | DEBUG | 1/200 - batch 23/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:30 | DEBUG | 1/200 - batch 24/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:32 | DEBUG | 1/200 - batch 25/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:35 | DEBUG | 1/200 - batch 26/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:37 | DEBUG | 1/200 - batch 27/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:39 | DEBUG | 1/200 - batch 28/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:41 | DEBUG | 1/200 - batch 29/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:43 | DEBUG | 1/200 - batch 30/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:46 | DEBUG | 1/200 - batch 31/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:48 | DEBUG | 1/200 - batch 32/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:50 | DEBUG | 1/200 - batch 33/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:53 | DEBUG | 1/200 - batch 34/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:55 | DEBUG | 1/200 - batch 35/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:57 | DEBUG | 1/200 - batch 36/84 | VRAM: 36.77/47.53GB
2024-12-09 13:15:59 | DEBUG | 1/200 - batch 37/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:02 | DEBUG | 1/200 - batch 38/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:04 | DEBUG | 1/200 - batch 39/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:06 | DEBUG | 1/200 - batch 40/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:08 | DEBUG | 1/200 - batch 41/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:11 | DEBUG | 1/200 - batch 42/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:13 | DEBUG | 1/200 - batch 43/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:15 | DEBUG | 1/200 - batch 44/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:17 | DEBUG | 1/200 - batch 45/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:19 | DEBUG | 1/200 - batch 46/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:22 | DEBUG | 1/200 - batch 47/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:24 | DEBUG | 1/200 - batch 48/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:26 | DEBUG | 1/200 - batch 49/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:28 | DEBUG | 1/200 - batch 50/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:30 | DEBUG | 1/200 - batch 51/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:33 | DEBUG | 1/200 - batch 52/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:35 | DEBUG | 1/200 - batch 53/84 | VRAM: 36.77/47.53GB
2024-12-09 13:16:37 | DEBUG | 1/200 - batch 54/84 | VRAM: 36.77/47.53GB
