2024-11-24 20:32:57 | INFO | Saving logs to outputs/lpdUnet2D_3/20241124_2032_logs.log...
2024-11-24 20:32:58 | INFO | LPD_Unet2D model loaded successfully!
2024-11-24 20:32:59 | INFO | lpdUnet2D_3 - number of parameters: 12,862,278
2024-11-24 20:32:59 | DEBUG | 1/200 - batch 1/84 | VRAM: 2.35/47.53GB
2024-11-24 20:33:05 | DEBUG | 1/200 - batch 2/84 | VRAM: 5.21/47.53GB
2024-11-24 20:33:07 | DEBUG | 1/200 - batch 3/84 | VRAM: 26.95/47.53GB
2024-11-24 20:33:08 | DEBUG | 1/200 - batch 4/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:10 | DEBUG | 1/200 - batch 5/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:11 | DEBUG | 1/200 - batch 6/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:13 | DEBUG | 1/200 - batch 7/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:14 | DEBUG | 1/200 - batch 8/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:16 | DEBUG | 1/200 - batch 9/84 | VRAM: 27.68/47.53GB
2024-11-24 20:33:17 | DEBUG | 1/200 - batch 10/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:19 | DEBUG | 1/200 - batch 11/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:21 | DEBUG | 1/200 - batch 12/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:22 | DEBUG | 1/200 - batch 13/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:23 | DEBUG | 1/200 - batch 14/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:25 | DEBUG | 1/200 - batch 15/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:26 | DEBUG | 1/200 - batch 16/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:28 | DEBUG | 1/200 - batch 17/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:29 | DEBUG | 1/200 - batch 18/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:31 | DEBUG | 1/200 - batch 19/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:32 | DEBUG | 1/200 - batch 20/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:34 | DEBUG | 1/200 - batch 21/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:35 | DEBUG | 1/200 - batch 22/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:37 | DEBUG | 1/200 - batch 23/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:38 | DEBUG | 1/200 - batch 24/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:40 | DEBUG | 1/200 - batch 25/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:42 | DEBUG | 1/200 - batch 26/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:43 | DEBUG | 1/200 - batch 27/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:45 | DEBUG | 1/200 - batch 28/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:46 | DEBUG | 1/200 - batch 29/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:47 | DEBUG | 1/200 - batch 30/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:49 | DEBUG | 1/200 - batch 31/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:51 | DEBUG | 1/200 - batch 32/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:52 | DEBUG | 1/200 - batch 33/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:54 | DEBUG | 1/200 - batch 34/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:55 | DEBUG | 1/200 - batch 35/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:57 | DEBUG | 1/200 - batch 36/84 | VRAM: 27.72/47.53GB
2024-11-24 20:33:58 | DEBUG | 1/200 - batch 37/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:00 | DEBUG | 1/200 - batch 38/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:01 | DEBUG | 1/200 - batch 39/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:03 | DEBUG | 1/200 - batch 40/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:04 | DEBUG | 1/200 - batch 41/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:06 | DEBUG | 1/200 - batch 42/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:07 | DEBUG | 1/200 - batch 43/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:09 | DEBUG | 1/200 - batch 44/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:10 | DEBUG | 1/200 - batch 45/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:12 | DEBUG | 1/200 - batch 46/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:14 | DEBUG | 1/200 - batch 47/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:15 | DEBUG | 1/200 - batch 48/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:17 | DEBUG | 1/200 - batch 49/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:18 | DEBUG | 1/200 - batch 50/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:20 | DEBUG | 1/200 - batch 51/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:21 | DEBUG | 1/200 - batch 52/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:23 | DEBUG | 1/200 - batch 53/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:24 | DEBUG | 1/200 - batch 54/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:26 | DEBUG | 1/200 - batch 55/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:27 | DEBUG | 1/200 - batch 56/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:29 | DEBUG | 1/200 - batch 57/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:30 | DEBUG | 1/200 - batch 58/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:32 | DEBUG | 1/200 - batch 59/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:34 | DEBUG | 1/200 - batch 60/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:35 | DEBUG | 1/200 - batch 61/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:37 | DEBUG | 1/200 - batch 62/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:38 | DEBUG | 1/200 - batch 63/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:40 | DEBUG | 1/200 - batch 64/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:41 | DEBUG | 1/200 - batch 65/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:42 | DEBUG | 1/200 - batch 66/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:44 | DEBUG | 1/200 - batch 67/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:45 | DEBUG | 1/200 - batch 68/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:47 | DEBUG | 1/200 - batch 69/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:48 | DEBUG | 1/200 - batch 70/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:50 | DEBUG | 1/200 - batch 71/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:51 | DEBUG | 1/200 - batch 72/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:53 | DEBUG | 1/200 - batch 73/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:54 | DEBUG | 1/200 - batch 74/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:56 | DEBUG | 1/200 - batch 75/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:57 | DEBUG | 1/200 - batch 76/84 | VRAM: 27.72/47.53GB
2024-11-24 20:34:59 | DEBUG | 1/200 - batch 77/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:01 | DEBUG | 1/200 - batch 78/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:02 | DEBUG | 1/200 - batch 79/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:04 | DEBUG | 1/200 - batch 80/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:05 | DEBUG | 1/200 - batch 81/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:07 | DEBUG | 1/200 - batch 82/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:08 | DEBUG | 1/200 - batch 83/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:09 | DEBUG | 1/200 - batch 84/84 | VRAM: 27.72/47.53GB
2024-11-24 20:35:12 | INFO | 1/200 - loss 2.55e+00; PSNR 14.814; SSIM 0.111
2024-11-24 20:35:12 | DEBUG | 2/200 - batch 1/84 | VRAM: 3.42/47.53GB
2024-11-24 20:35:14 | DEBUG | 2/200 - batch 2/84 | VRAM: 27.02/47.53GB
2024-11-24 20:35:15 | DEBUG | 2/200 - batch 3/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:17 | DEBUG | 2/200 - batch 4/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:18 | DEBUG | 2/200 - batch 5/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:20 | DEBUG | 2/200 - batch 6/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:22 | DEBUG | 2/200 - batch 7/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:23 | DEBUG | 2/200 - batch 8/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:25 | DEBUG | 2/200 - batch 9/84 | VRAM: 28.08/47.53GB
2024-11-24 20:35:27 | DEBUG | 2/200 - batch 10/84 | VRAM: 28.08/47.53GB
